X,Y,Z
10.7188616680404,50.7660830895733,529.96
10.7216100813886,50.7641416990975,528.12
10.7187670936061,50.7659646453413,529.98
10.7200313727461,50.7660059399825,527.38
10.7187439339531,50.765987404714,529.73
10.7215212198585,50.764219295618,526.97
10.7188494222621,50.7659760673245,529.78
10.7189098280816,50.7659182074851,528.27
10.7188200590784,50.7659352911615,528.27
10.7204744841004,50.7655380306511,527.63
10.7200850524988,50.7659295768266,527.68
10.7204958132192,50.7652860129688,528.09
10.7206905662122,50.765083542418,528.07
10.720856381012,50.764907813358,528.09
10.7210655535215,50.7646962408463,528.11
10.7212553688858,50.7644927263579,528.14
10.7214328801894,50.7643089440173,528.17
10.7214608598391,50.764166403929,528.41
10.7214455297941,50.7641099602802,528.48
10.7214912560322,50.764060028996,528.53
10.7215623622522,50.7640878671941,528.33
10.7216863701379,50.7641614133543,528.06
10.7199146876922,50.765902896249,528.15
10.7202981508892,50.7654911482011,528.1
10.7193167718397,50.7660124821791,528.57
10.7188810569543,50.7658920910842,526.6
10.71878543872,50.7659105488654,526.58
10.7187577090574,50.7658151331141,526.59
10.7187204915894,50.7658336028417,526.56
10.7190565842338,50.7660723742928,529.28
10.7191756918843,50.7661021792538,528.6
10.7197281509975,50.766245605401,529.73
10.7195911652012,50.7662423941866,529.95
10.7198056201378,50.7662637156747,527.18
10.7215191707299,50.7643413535936,527.76
10.7211386289538,50.7647350683431,527.76
10.7209390830829,50.7649418920647,527.75
10.7205916510265,50.765311426038,527.84
10.7207828635306,50.7651088266153,527.83
10.7209636018703,50.7649212147926,527.84
10.721155426624,50.7647220375632,527.88
10.7213454905329,50.7645249982539,527.9
10.7216098730624,50.7641077156641,528.31
10.7215408566398,50.7641072291501,528.33
10.7215354326889,50.7641554445285,528.45
10.7200161676042,50.7659033802606,527.92
10.7202060798318,50.7657070603267,527.85
10.7203937305054,50.7655104455888,527.84
10.7203769441771,50.7655282409357,527.76
10.7199915890543,50.7659262142109,527.79
10.7198518647964,50.7661169714339,527.81
10.7197886388675,50.766137942959,527.76
10.7198299830855,50.7661968297675,527.62
10.7197676425037,50.7661541637727,527.94
10.7195799137091,50.7660936706295,528.22
10.7194529495245,50.7660764553642,528.3
10.7192968161553,50.7660528966813,528.42
10.7189646039836,50.7659990871046,529.57
10.7184323697515,50.7659820951573,529.95
10.7198096321641,50.7660750654571,528.14
10.7201071940976,50.7658037838203,528.1
10.7203034705152,50.7656027689861,528.06
10.7204089923529,50.7654913749598,528.07
10.720491296366,50.7654048974511,528.04
10.7197354898085,50.7660701166802,527.93
10.7198435198181,50.7661578730029,527.01
10.7199671595185,50.7661150899335,527.23
10.7210179131465,50.7648215747468,526.89
10.7214449410617,50.7641523853193,526.2
10.7213529687649,50.7641516471414,523.59
10.7212236968742,50.7641516687607,519.09
10.7210691456114,50.7641534807825,514.43
10.720919553929,50.764155346969,509.96
10.720765525369,50.7641587824686,505.31
10.7206131045136,50.7641604374489,500.92
10.7204574975934,50.7641645744126,496.28
10.7203085751723,50.7641678855104,491.7
10.7201412821665,50.7641483408061,487.26
10.7200047585218,50.7641543945394,483.32
10.7197398254311,50.764160028063,476.89
10.7198595718517,50.7641558582042,479.16
10.7196333230237,50.7641671299479,476.61
10.7196192772154,50.764271526301,476.64
10.7195491963704,50.7643620029307,476.57
10.719459349831,50.7644547797132,476.45
10.7193825559478,50.7645315181867,476.37
10.7192908793944,50.7646186112278,476.36
10.7192118705714,50.7647037756163,476.49
10.7191296635765,50.7647866574115,476.45
10.7190422328427,50.7648687626217,476.35
10.7189558441074,50.7649594194436,476.56
10.719666708341,50.7660868919092,526.79
10.7195992587029,50.7660496534899,525.72
10.7195654989123,50.766014133206,523.51
10.7195122223994,50.7659302138227,519.11
10.7194644574411,50.7658521083236,515.43
10.7193679894584,50.7657718501137,511.28
10.7193161075031,50.7656991830936,507.65
10.7192753480493,50.7656189069749,503.57
10.7192204292496,50.7655484540057,499.73
10.7191845039016,50.7655040100101,497.35
10.7191166140625,50.7654362014159,493.19
10.719047857012,50.7653690125406,489.48
10.7189813085795,50.7653040054052,485.85
10.7189709695699,50.7652309852421,481.81
10.7190626639823,50.7651536914487,478.27
10.718955299348,50.7651819091039,479.71
10.7188132054648,50.7650491888702,478.15
10.7187288051227,50.7650721747434,478.15
10.7186513560096,50.7649651555998,477.64
10.7215034352866,50.7641905134276,524.8
10.7214406705061,50.7641946801154,523.62
10.7213646811481,50.7641951958544,521
10.7212394594333,50.7642026334487,516.29
10.7210520375418,50.764209119434,511.68
10.7209345978479,50.7642066634102,507.24
10.7207764646411,50.7642098741336,502.55
10.7205989671448,50.764211074365,498.01
10.7204326494548,50.7642129363156,493.31
10.7202797420509,50.7642168329556,488.8
10.7201240936991,50.764217283234,484.17
10.7199931942952,50.7642198027592,480.32
10.7198424413276,50.7642278577337,475.41
10.7197667549339,50.7642276565775,473.32
10.7195676485307,50.7644234254447,473.21
10.7194073821694,50.7645931005816,473.18
10.719205030123,50.7647934179651,473.14
10.7189935455181,50.7650218624612,473.06
